old_url,new_url,page_type,category,reason,redirect_required,notes,source_audit_row
http://www.standardautomation.in/telescoping-gate.html,/products/gates/telescoping-gate/,product (protocol/www duplicate),Gates,Duplicate of https://www.standardautomation.in/telescoping-gate.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/telescoping-gate.html
https://www.standardautomation.in/retractable-gates.html,/products/gates/retractable-gates/,product,Gates,Product detail page under its category,Yes,,https://www.standardautomation.in/retractable-gates.html
http://www.standardautomation.in/retractable-gates.html,/products/gates/retractable-gates/,product (protocol/www duplicate),Gates,Duplicate of https://www.standardautomation.in/retractable-gates.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/retractable-gates.html
https://www.standardautomation.in/automatic-doors.html,/products/doors/,category,Doors,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/automatic-doors.html
http://www.standardautomation.in/automatic-doors.html,/products/doors/,category (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/automatic-doors.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/automatic-doors.html
https://www.standardautomation.in/high-speed-door.html,/products/doors/high-speed-door/,product,Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/high-speed-door.html
http://www.standardautomation.in/high-speed-door.html,/products/doors/high-speed-door/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/high-speed-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/high-speed-door.html
https://www.standardautomation.in/overhead-sectional-doors.html,/products/doors/overhead-sectional-doors/,product,Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/overhead-sectional-doors.html
http://www.standardautomation.in/overhead-sectional-doors.html,/products/doors/overhead-sectional-doors/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/overhead-sectional-doors.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/overhead-sectional-doors.html
https://www.standardautomation.in/fire-sliding-door.html,/products/doors/fire-sliding-door/,product,Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/fire-sliding-door.html
http://www.standardautomation.in/fire-sliding-door.html,/products/doors/fire-sliding-door/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/fire-sliding-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/fire-sliding-door.html
https://www.standardautomation.in/garage-door.html,/products/doors/garage-door/,product,Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/garage-door.html
http://www.standardautomation.in/garage-door.html,/products/doors/garage-door/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/garage-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/garage-door.html
https://www.standardautomation.in/residential-garage-door.html,/products/doors/residential-garage-door/,product,Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/residential-garage-door.html
http://www.standardautomation.in/residential-garage-door.html,/products/doors/residential-garage-door/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/residential-garage-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/residential-garage-door.html
https://www.standardautomation.in/sectional-door.html,/products/doors/sectional-door/,product,Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/sectional-door.html
http://www.standardautomation.in/sectional-door.html,/products/doors/sectional-door/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/sectional-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/sectional-door.html
https://www.standardautomation.in/high-speed-roll-up.html,/products/high-speed-doors/,category,High Speed Doors,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/high-speed-roll-up.html
http://www.standardautomation.in/high-speed-roll-up.html,/products/high-speed-doors/,category (protocol/www duplicate),High Speed Doors,Duplicate of https://www.standardautomation.in/high-speed-roll-up.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/high-speed-roll-up.html
https://www.standardautomation.in/high-speed-roll-up-door.html,/products/high-speed-doors/high-speed-roll-up-door/,product,High Speed Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/high-speed-roll-up-door.html
http://www.standardautomation.in/high-speed-roll-up-door.html,/products/high-speed-doors/high-speed-roll-up-door/,product (protocol/www duplicate),High Speed Doors,Duplicate of https://www.standardautomation.in/high-speed-roll-up-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/high-speed-roll-up-door.html
https://www.standardautomation.in/high-speed-fold-up-doors.html,/products/high-speed-doors/high-speed-fold-up-doors/,product,High Speed Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/high-speed-fold-up-doors.html
http://www.standardautomation.in/high-speed-fold-up-doors.html,/products/high-speed-doors/high-speed-fold-up-doors/,product (protocol/www duplicate),High Speed Doors,Duplicate of https://www.standardautomation.in/high-speed-fold-up-doors.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/high-speed-fold-up-doors.html
https://www.standardautomation.in/high-speed-self-repairing-doors.html,/products/high-speed-doors/high-speed-self-repairing-doors/,product,High Speed Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/high-speed-self-repairing-doors.html
http://www.standardautomation.in/high-speed-self-repairing-doors.html,/products/high-speed-doors/high-speed-self-repairing-doors/,product (protocol/www duplicate),High Speed Doors,Duplicate of https://www.standardautomation.in/high-speed-self-repairing-doors.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/high-speed-self-repairing-doors.html
https://www.standardautomation.in/high-speed-industrial-door.html,/products/high-speed-doors/high-speed-industrial-door/,product,High Speed Doors,Product detail page under its category,Yes,,https://www.standardautomation.in/high-speed-industrial-door.html
http://www.standardautomation.in/high-speed-industrial-door.html,/products/high-speed-doors/high-speed-industrial-door/,product (protocol/www duplicate),High Speed Doors,Duplicate of https://www.standardautomation.in/high-speed-industrial-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/high-speed-industrial-door.html
https://www.standardautomation.in/loading-bay-equipment.html,/products/loading-bay-equipment/,category,Loading bay Equipment,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/loading-bay-equipment.html
http://www.standardautomation.in/loading-bay-equipment.html,/products/loading-bay-equipment/,category (protocol/www duplicate),Loading bay Equipment,Duplicate of https://www.standardautomation.in/loading-bay-equipment.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/loading-bay-equipment.html
https://www.standardautomation.in/dock-house.html,/products/loading-bay-equipment/dock-house/,product,Loading bay Equipment,Product detail page under its category,Yes,,https://www.standardautomation.in/dock-house.html
http://www.standardautomation.in/dock-house.html,/products/loading-bay-equipment/dock-house/,product (protocol/www duplicate),Loading bay Equipment,Duplicate of https://www.standardautomation.in/dock-house.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/dock-house.html
https://www.standardautomation.in/dock-levellers.html,/products/loading-bay-equipment/dock-levellers/,product,Loading bay Equipment,Product detail page under its category,Yes,,https://www.standardautomation.in/dock-levellers.html
http://www.standardautomation.in/dock-levellers.html,/products/loading-bay-equipment/dock-levellers/,product (protocol/www duplicate),Loading bay Equipment,Duplicate of https://www.standardautomation.in/dock-levellers.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/dock-levellers.html
https://www.standardautomation.in/clients.html,/clients/,info,,Preserve existing informational URL,Yes,,https://www.standardautomation.in/clients.html
http://www.standardautomation.in/clients.html,/clients/,info (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/clients.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/clients.html
https://www.standardautomation.in/enquiry.html,/contact/,transactional,,Consolidated: enquiry.html and contact.html both redirect to one shared /contact/ page per FINAL-IA.md §8,Yes,,https://www.standardautomation.in/enquiry.html
http://www.standardautomation.in/enquiry.html,/contact/,transactional (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/enquiry.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/enquiry.html
https://www.standardautomation.in/contact.html,/contact/,transactional,,Consolidated: enquiry.html and contact.html both redirect to one shared /contact/ page per FINAL-IA.md §8,Yes,,https://www.standardautomation.in/contact.html
http://www.standardautomation.in/contact.html,/contact/,transactional (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/contact.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/contact.html
https://www.standardautomation.in/boom-barriers.html,/products/boom-and-barriers/boom-barriers/,product,Barriers,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/boom-barriers.html
http://www.standardautomation.in/boom-barriers.html,/products/boom-and-barriers/boom-barriers/,product (protocol/www duplicate),Barriers,Duplicate of https://www.standardautomation.in/boom-barriers.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/boom-barriers.html
https://www.standardautomation.in/side-motor-with-chain.html,/products/motors-accessories/side-motor-with-chain/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/side-motor-with-chain.html
http://www.standardautomation.in/side-motor-with-chain.html,/products/motors-accessories/side-motor-with-chain/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/side-motor-with-chain.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/side-motor-with-chain.html
https://www.standardautomation.in/sliding-gate-motor.html,/products/motors-accessories/sliding-gate-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/sliding-gate-motor.html
http://www.standardautomation.in/sliding-gate-motor.html,/products/motors-accessories/sliding-gate-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/sliding-gate-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/sliding-gate-motor.html
https://www.standardautomation.in/swing-gate-motor.html,/products/motors-accessories/swing-gate-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/swing-gate-motor.html
http://www.standardautomation.in/swing-gate-motor.html,/products/motors-accessories/swing-gate-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/swing-gate-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/swing-gate-motor.html
https://www.standardautomation.in/polycarbonate.html,/products/rolling-shutters/polycarbonate/,product,Rolling Shutters,Product detail page under its category,Yes,Live but orphaned from nav/sitemap; likely superseded by polycarbonate-rolling-shutters.html — confirm before merging.,https://www.standardautomation.in/polycarbonate.html
http://www.standardautomation.in/polycarbonate.html,/products/rolling-shutters/polycarbonate/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/polycarbonate.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/polycarbonate.html
http://www.standardautomation.in/hotels-in-alibaug.html,(none),dead-404,,Already 404 on live site — see research/url-migration-map.csv for per-page detail,No,,http://www.standardautomation.in/hotels-in-alibaug.html
https://www.standardautomation.in/hotels-in-alibaug.html,(none),dead-404 (protocol/www duplicate),,Duplicate of http://www.standardautomation.in/hotels-in-alibaug.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",https://www.standardautomation.in/hotels-in-alibaug.html
http://www.standardautomation.in/sitemap.html,(none),dead-404,,Already 404 on live site — see research/url-migration-map.csv for per-page detail,No,,http://www.standardautomation.in/sitemap.html
https://www.standardautomation.in/sitemap.html,(none),dead-404 (protocol/www duplicate),,Duplicate of http://www.standardautomation.in/sitemap.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",https://www.standardautomation.in/sitemap.html
https://www.standardautomation.in/m-s-grill-rolling-shutters.html,/products/rolling-shutters/m-s-grill-rolling-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,"Live but orphaned from nav/sitemap; real distinct product (Bright Bar / MS Grill Rolling Shutters), recommend reinstating in nav.",https://www.standardautomation.in/m-s-grill-rolling-shutters.html
http://www.standardautomation.in/m-s-grill-rolling-shutters.html,/products/rolling-shutters/m-s-grill-rolling-shutters/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/m-s-grill-rolling-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/m-s-grill-rolling-shutters.html
https://www.standardautomation.in/perforated-shutters.html,/products/rolling-shutters/perforated-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,"Live but orphaned from nav/sitemap; real distinct product, recommend reinstating in nav.",https://www.standardautomation.in/perforated-shutters.html
http://www.standardautomation.in/perforated-shutters.html,/products/rolling-shutters/perforated-shutters/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/perforated-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/perforated-shutters.html
https://www.standardautomation.in/sliding-glass-door.html,/products/doors/sliding-glass-door/,product,Doors,Product detail page under its category,Yes,"Live but orphaned from nav/sitemap; real distinct product, recommend reinstating in nav.",https://www.standardautomation.in/sliding-glass-door.html
http://www.standardautomation.in/sliding-glass-door.html,/products/doors/sliding-glass-door/,product (protocol/www duplicate),Doors,Duplicate of https://www.standardautomation.in/sliding-glass-door.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/sliding-glass-door.html
https://www.standardautomation.in/automatic-barriers.html,/products/boom-and-barriers/,category,Barriers,Category landing page under new /products/ path,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/automatic-barriers.html
http://www.standardautomation.in/automatic-barriers.html,/products/boom-and-barriers/,category (protocol/www duplicate),Barriers,Duplicate of https://www.standardautomation.in/automatic-barriers.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/automatic-barriers.html
https://www.standardautomation.in/retractable-barriers.html,/products/boom-and-barriers/retractable-barriers/,product,Barriers,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/retractable-barriers.html
http://www.standardautomation.in/retractable-barriers.html,/products/boom-and-barriers/retractable-barriers/,product (protocol/www duplicate),Barriers,Duplicate of https://www.standardautomation.in/retractable-barriers.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/retractable-barriers.html
https://www.standardautomation.in/motors-accessories.html,/products/motors-accessories/,category,Motors & Accessories,Category landing page under new /products/ path,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/motors-accessories.html
http://www.standardautomation.in/motors-accessories.html,/products/motors-accessories/,category (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/motors-accessories.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/motors-accessories.html
https://www.standardautomation.in/tubular-motor.html,/products/motors-accessories/tubular-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/tubular-motor.html
http://www.standardautomation.in/tubular-motor.html,/products/motors-accessories/tubular-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/tubular-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/tubular-motor.html
https://www.standardautomation.in/australian-type-motor.html,/products/motors-accessories/australian-type-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/australian-type-motor.html
http://www.standardautomation.in/australian-type-motor.html,/products/motors-accessories/australian-type-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/australian-type-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/australian-type-motor.html
https://www.standardautomation.in/central-motor.html,/products/motors-accessories/central-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/central-motor.html
http://www.standardautomation.in/central-motor.html,/products/motors-accessories/central-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/central-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/central-motor.html
https://www.standardautomation.in/side-motor-with-gear.html,/products/motors-accessories/side-motor-with-gear/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/side-motor-with-gear.html
http://www.standardautomation.in/side-motor-with-gear.html,/products/motors-accessories/side-motor-with-gear/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/side-motor-with-gear.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/side-motor-with-gear.html
https://www.standardautomation.in/industrial-sliding-gate-motor.html,/products/motors-accessories/industrial-sliding-gate-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/industrial-sliding-gate-motor.html
http://www.standardautomation.in/industrial-sliding-gate-motor.html,/products/motors-accessories/industrial-sliding-gate-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/industrial-sliding-gate-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/industrial-sliding-gate-motor.html
https://www.standardautomation.in/sliding-glass-door-motor.html,/products/motors-accessories/sliding-glass-door-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/sliding-glass-door-motor.html
http://www.standardautomation.in/sliding-glass-door-motor.html,/products/motors-accessories/sliding-glass-door-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/sliding-glass-door-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/sliding-glass-door-motor.html
https://www.standardautomation.in/sectional-door-motor.html,/products/motors-accessories/sectional-door-motor/,product,Motors & Accessories,Product detail page under its category,Yes,"Currently orphaned (commented out of live nav) — reinstating pending confirmation, per FINAL-IA.md §2.",https://www.standardautomation.in/sectional-door-motor.html
http://www.standardautomation.in/sectional-door-motor.html,/products/motors-accessories/sectional-door-motor/,product (protocol/www duplicate),Motors & Accessories,Duplicate of https://www.standardautomation.in/sectional-door-motor.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/sectional-door-motor.html
https://www.standardautomation.in/fire-proof-shutters.html,/products/rolling-shutters/fire-proof-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,,https://www.standardautomation.in/fire-proof-shutters.html
http://www.standardautomation.in/fire-proof-shutters.html,/products/rolling-shutters/fire-proof-shutters/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/fire-proof-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/fire-proof-shutters.html
