"product_id","product","family","variant_id","group","field","unit","guidance","value"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Dimensions","Maximum clear height","mm","","Made to the opening; confirmed at survey *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Dimensions","Minimum headroom required","mm","Space above the opening for the barrel, stack or track.","Confirmed at survey *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Dimensions","Minimum side room required","mm","Per side, for guides and drive.","Confirmed at survey *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Dimensions","Lift configuration","","Standard, high, vertical or low headroom — set by the building.","Set by the headroom available above the opening *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Panel material","","","Aluminium sections with glazed inserts, foam filled"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Panel thickness","mm","","Per the section chosen *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Panel height","mm","","Per the section chosen *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Insulation core","","","Foam fill (insulated panel variant) *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Finish and colour","","","Powder coated or plastisol coated to any RAL colour"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Glazing and vision panels","","","Glazed aluminium sections (full-vision)"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Track and hardware","","","2.5 mm galvanized steel, powder coated"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Counterbalance","","","Torsion springs with wire-rope lifting cables"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Construction","Perimeter sealing","","","Perimeter seals around the leaf"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Declared performance","Wind load resistance","class","EN 12424.","EN 12424"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Declared performance","Water tightness","class","EN 12425.","Certification dependent — published against the certificate for the tested door *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Declared performance","Air permeability","class","EN 12426.","Certification dependent — published against the certificate for the tested door *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Declared performance","Thermal transmittance (U)","W/m²K","EN 12428, for the complete door.","Certification dependent — published against the certificate for the tested door *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Declared performance","Airborne sound reduction","dB","","Certification dependent — published against the certificate for the tested door *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Drive","Operator type","","","Electric operator"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Drive","Rated motor power","kW","","Operator sized to the leaf at order *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Drive","Supply voltage","V / phase / Hz","","220 V / 380 V / 400 V"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Drive","Duty rating","cycles per hour or %ED","Duty, not torque, is what usually limits an operator.","Operator sized to the duty at order *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Drive","Manual override","","","Manual release for hand operation during a power failure"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Control","Control system","","","Configuration dependent, per the operator selected *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Control","Activation devices","","","Configuration dependent *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Control","Travel limit setting","","","Set at commissioning *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Control","Interfaces","","Access control, traffic lights, alarm panel, interlocks.","Configuration dependent *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Safety","Spring-break device","","","Arrests the spring axis and cable if a spring fails"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Safety","Anti-fall device","","","Arrests the leaf if a lifting cable breaks"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Safety","Obstruction detection","","","Pneumatic (airbag) safety edge"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Safety","Finger-trap protection","","","Per the section profile supplied *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Safety","Operating force limitation","","EN 12453.","Certification dependent (EN 12453) *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Safety","Manual release","","","Manual release for hand operation during a power failure"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Compliance","Product standard","","EN 13241 applies to industrial and garage doors in this market.","Certification dependent (EN 13241 field list) *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Compliance","Conformity marking","","","Certification dependent *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Compliance","Certificate reference","","Required before any rating is published.","Issued with the tested door; certification dependent *"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Additional published data","Protection class","","Published for this line but outside the standard field list.","IP55"
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","full-vision","Variant — Full-vision glazed","","","Only fill this in where the configuration changes the figure.",""
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","full-vision","Variant — Full-vision glazed","","","Only fill this in where the configuration changes the figure.",""
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","full-vision","Variant — Full-vision glazed","","","Only fill this in where the configuration changes the figure.",""
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","insulated-panel","Variant — Insulated panel","","","Only fill this in where the configuration changes the figure.",""
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","insulated-panel","Variant — Insulated panel","","","Only fill this in where the configuration changes the figure.",""
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","insulated-panel","Variant — Insulated panel","","","Only fill this in where the configuration changes the figure.",""
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Dimensions","Maximum clear width","mm","Clear opening between finished reveals.","Made to the opening; confirmed at survey *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Dimensions","Maximum clear height","mm","","Made to the opening; confirmed at survey *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Dimensions","Minimum headroom required","mm","Space above the opening for the barrel, stack or track.","Confirmed at survey *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Dimensions","Minimum side room required","mm","Per side, for guides and drive.","Confirmed at survey *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Dimensions","Lift configuration","","Standard, high, vertical or low headroom — set by the building.","Set by the headroom available above the opening *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Panel material","","","Galvanized steel sections with a foam core"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Panel thickness","mm","","Per the section chosen *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Panel height","mm","","Per the section chosen *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Insulation core","","","Polyurethane foam (PUF)"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Finish and colour","","","Per the finish selected at order *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Glazing and vision panels","","","Configuration dependent *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Track and hardware","","","2.5 mm galvanized steel, powder coated"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Counterbalance","","","Torsion springs with wire-rope lifting cables"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Construction","Perimeter sealing","","","Perimeter seals around the leaf"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Declared performance","Wind load resistance","class","EN 12424.","EN 12424"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Declared performance","Water tightness","class","EN 12425.","Certification dependent — published against the certificate for the tested door *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Declared performance","Air permeability","class","EN 12426.","Certification dependent — published against the certificate for the tested door *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Declared performance","Thermal transmittance (U)","W/m²K","EN 12428, for the complete door.","Certification dependent — published against the certificate for the tested door *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Declared performance","Airborne sound reduction","dB","","Certification dependent — published against the certificate for the tested door *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Drive","Operator type","","","Electric operator, or manual with counterbalance"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Drive","Rated motor power","kW","","Operator sized to the leaf at order *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Drive","Supply voltage","V / phase / Hz","","220 V / 380 V / 400 V"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Drive","Duty rating","cycles per hour or %ED","Duty, not torque, is what usually limits an operator.","Operator sized to the duty at order *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Drive","Manual override","","","Release cord disengages the operator for hand operation without power"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Control","Control system","","","Operator control unit with handset and wall control (remote-operated variant) *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Control","Activation devices","","","Handset and wall control (remote-operated variant) *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Control","Travel limit setting","","","Set at commissioning *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Control","Interfaces","","Access control, traffic lights, alarm panel, interlocks.","Configuration dependent *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Safety","Spring-break device","","","Arrests the spring axis and cable if a spring fails"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Safety","Anti-fall device","","","Arrests the leaf if a lifting cable breaks"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Safety","Obstruction detection","","","Pneumatic (airbag) safety edge"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Safety","Finger-trap protection","","","Per the section profile supplied *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Safety","Operating force limitation","","EN 12453.","Certification dependent (EN 12453) *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Safety","Manual release","","","Release cord (remote-operated variant)"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Compliance","Product standard","","EN 13241 applies to industrial and garage doors in this market.","Certification dependent (EN 13241 field list) *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Compliance","Conformity marking","","","Certification dependent *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Compliance","Certificate reference","","Required before any rating is published.","Issued with the tested door; certification dependent *"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","","Additional published data","Protection class","","Published for this line but outside the standard field list.","IP55"
"residential-garage-doors","Residential Garage Doors","Industrial Doors","remote-operated","Variant — Remote operated","","","Only fill this in where the configuration changes the figure.",""
"residential-garage-doors","Residential Garage Doors","Industrial Doors","remote-operated","Variant — Remote operated","","","Only fill this in where the configuration changes the figure.",""
"residential-garage-doors","Residential Garage Doors","Industrial Doors","remote-operated","Variant — Remote operated","","","Only fill this in where the configuration changes the figure.",""
"residential-garage-doors","Residential Garage Doors","Industrial Doors","manual","Variant — Manual with counterbalance","","","Only fill this in where the configuration changes the figure.",""
"residential-garage-doors","Residential Garage Doors","Industrial Doors","manual","Variant — Manual with counterbalance","","","Only fill this in where the configuration changes the figure.",""
"residential-garage-doors","Residential Garage Doors","Industrial Doors","manual","Variant — Manual with counterbalance","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Dimensions","Maximum clear width","mm","Clear opening between finished reveals.","Made to the opening; confirmed at survey *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Dimensions","Maximum clear height","mm","","Made to the opening; confirmed at survey *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Dimensions","Minimum headroom required","mm","Space above the opening for the barrel, stack or track.","Header-mounted operator; confirmed at survey *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Dimensions","Minimum side room required","mm","Per side, for guides and drive.","Leaf parks beside the opening; confirmed at survey *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Leaf facing material","","","HPL, painted steel or powder-coated aluminium"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Leaf thickness","mm","","4.5 mm"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Frame material","","","Aluminium"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Shielding — lead sheet thickness","mm","","3.0 mm"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Vision panel glazing","","","Single glazing in aluminium frame, or double glazing with lead glass"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Glass thickness","mm","","5 mm / 6 mm"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Leaf construction","Surface finish","","Cleanability matters in clinical and classified areas.","Per the leaf facing selected *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Fire performance","Integrity rating","minutes","Only published against a certificate for the tested assembly.","Certification dependent — published against the certificate for the tested assembly *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Fire performance","Insulation rating","minutes","","Certification dependent — published against the certificate for the tested assembly *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Fire performance","Test standard","","IS 3614, BS 476 Pt 22 or EN 1634-1.","Certification dependent (IS 3614, BS 476 Pt 22 or EN 1634-1, per the project specification) *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Fire performance","Certificate reference","","","Certification dependent *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Fire performance","Behaviour on alarm","","","Closes against its frame on a fire signal, to the agreed fire strategy"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Drive","Operator type","","","Header-mounted sliding operator"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Drive","Rated motor power","kW","","Configuration dependent, per the operator selected *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Drive","Supply voltage","V / phase / Hz","","Configuration dependent, per the operator selected *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Drive","Duty rating","cycles per hour or %ED","Duty, not torque, is what usually limits an operator.","Operator sized to the duty at order *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Drive","Manual override","","","Leaf can be operated manually without power"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Control","Control system","","","Configuration dependent, per the operator selected *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Control","Activation devices","","","Sensors, push plate or hands-free activation"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Control","Travel limit setting","","","Set at commissioning *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Control","Interfaces","","Access control, traffic lights, alarm panel, interlocks.","Fire alarm signal; other interfaces configuration dependent *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Safety","Presence detection","","","Holds the door open while the threshold is occupied"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Safety","Obstruction detection","","","Configuration dependent, per the operator selected *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Safety","Escape route provision","","","Agreed against the building escape strategy *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Safety","Manual operation without power","","","Yes — the leaf can be moved by hand"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Compliance","Product standard","","EN 16005 applies to power-operated pedestrian doorsets.","Certification dependent (EN 16005 field list for the powered doorset) *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Compliance","Conformity marking","","","Certification dependent *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Compliance","Certificate reference","","Required before any rating is published.","Certification dependent *"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Additional published data","Door type","","Published for this line but outside the standard field list.","Automatic sliding"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Additional published data","Door plate thickness","","Published for this line but outside the standard field list.","1.0 mm"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","","Additional published data","Reference size","","Published for this line but outside the standard field list.","1800 × 2100 mm"
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","automatic","Variant — Automatic operation","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","automatic","Variant — Automatic operation","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","automatic","Variant — Automatic operation","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","lead-lined","Variant — Lead-lined / shielded","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","lead-lined","Variant — Lead-lined / shielded","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","lead-lined","Variant — Lead-lined / shielded","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","vision-panel","Variant — Glazed vision panel","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","vision-panel","Variant — Glazed vision panel","","","Only fill this in where the configuration changes the figure.",""
"fire-rated-sliding-doors","Fire Rated Sliding Doors","Fire & Safety Doors","vision-panel","Variant — Glazed vision panel","","","Only fill this in where the configuration changes the figure.",""
"retractable-gates","Retractable Gates","Automatic Gates","","Dimensions","Maximum clear opening","mm","","30 m"
"retractable-gates","Retractable Gates","Automatic Gates","","Dimensions","Maximum leaf width","mm","","Up to 30 m (single expanding leaf)"
"retractable-gates","Retractable Gates","Automatic Gates","","Dimensions","Maximum leaf height","mm","","1.6 m"
