old_url,new_url,page_type,reason,redirect_required,notes
http://www.standardautomation.in/high-speed-roll-up-door.html,/products/high-speed-doors/high-speed-roll-up-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/high-speed-roll-up-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/high-speed-fold-up-doors.html,/products/high-speed-doors/high-speed-fold-up-doors/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/high-speed-fold-up-doors.html,/products/high-speed-doors/high-speed-fold-up-doors/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/high-speed-fold-up-doors.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/high-speed-self-repairing-doors.html,/products/high-speed-doors/high-speed-self-repairing-doors/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/high-speed-self-repairing-doors.html,/products/high-speed-doors/high-speed-self-repairing-doors/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/high-speed-self-repairing-doors.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/high-speed-industrial-door.html,/products/high-speed-doors/high-speed-industrial-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/high-speed-industrial-door.html,/products/high-speed-doors/high-speed-industrial-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/high-speed-industrial-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/loading-bay-equipment.html,/products/loading-bay-equipment/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/loading-bay-equipment.html,/products/loading-bay-equipment/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/loading-bay-equipment.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/dock-house.html,/products/loading-bay-equipment/dock-house/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/dock-house.html,/products/loading-bay-equipment/dock-house/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/dock-house.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/dock-levellers.html,/products/loading-bay-equipment/dock-levellers/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/dock-levellers.html,/products/loading-bay-equipment/dock-levellers/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/dock-levellers.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/clients.html,/clients/,info,"Preserve existing informational URL, add trailing slash for consistency",Yes,
http://www.standardautomation.in/clients.html,/clients/,info (protocol/www duplicate),Duplicate of https://www.standardautomation.in/clients.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/enquiry.html,/enquiry/,transactional,Preserve existing URL,Yes,"Recommend consolidating enquiry.html and contact.html forms into one shared component (see proposed-information-architecture.md), but each URL should still resolve/redirect sensibly."
http://www.standardautomation.in/enquiry.html,/enquiry/,transactional (protocol/www duplicate),Duplicate of https://www.standardautomation.in/enquiry.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/contact.html,/contact/,transactional,Preserve existing URL,Yes,
http://www.standardautomation.in/contact.html,/contact/,transactional (protocol/www duplicate),Duplicate of https://www.standardautomation.in/contact.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/boom-barriers.html,/products/boom-and-barriers/boom-barriers/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/boom-barriers.html,/products/boom-and-barriers/boom-barriers/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/boom-barriers.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/side-motor-with-chain.html,/products/motors-accessories/side-motor-with-chain/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/side-motor-with-chain.html,/products/motors-accessories/side-motor-with-chain/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/side-motor-with-chain.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/sliding-gate-motor.html,/products/motors-accessories/sliding-gate-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/sliding-gate-motor.html,/products/motors-accessories/sliding-gate-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/sliding-gate-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/swing-gate-motor.html,/products/motors-accessories/swing-gate-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/swing-gate-motor.html,/products/motors-accessories/swing-gate-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/swing-gate-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/polycarbonate.html,/products/other/polycarbonate/,orphaned-unclassified,Live page not present in current nav or sitemap; needs a home in the new IA,Yes,Confirm correct category with business (see proposed-information-architecture.md) before finalizing slug/parent.
http://www.standardautomation.in/polycarbonate.html,/products/other/polycarbonate/,orphaned-unclassified (protocol/www duplicate),Duplicate of https://www.standardautomation.in/polycarbonate.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/hotels-in-alibaug.html,(none),dead-404,Already 404; possibly a past hospitality-sector case study/project page,No,"UNKNOWN — confirm with business whether this content ever existed/should be recreated as a project case study, or safely ignored."
https://www.standardautomation.in/hotels-in-alibaug.html,(none),dead-404 (protocol/www duplicate),Duplicate of http://www.standardautomation.in/hotels-in-alibaug.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/sitemap.html,(none),dead-404,"Legacy human-readable HTML sitemap, superseded by XML sitemap + real nav",No,No replacement needed in a modern site.
https://www.standardautomation.in/sitemap.html,(none),dead-404 (protocol/www duplicate),Duplicate of http://www.standardautomation.in/sitemap.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/m-s-grill-rolling-shutters.html,/products/other/m-s-grill-rolling-shutters/,orphaned-unclassified,Live page not present in current nav or sitemap; needs a home in the new IA,Yes,Confirm correct category with business (see proposed-information-architecture.md) before finalizing slug/parent.
http://www.standardautomation.in/m-s-grill-rolling-shutters.html,/products/other/m-s-grill-rolling-shutters/,orphaned-unclassified (protocol/www duplicate),Duplicate of https://www.standardautomation.in/m-s-grill-rolling-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/perforated-shutters.html,/products/other/perforated-shutters/,orphaned-unclassified,Live page not present in current nav or sitemap; needs a home in the new IA,Yes,Confirm correct category with business (see proposed-information-architecture.md) before finalizing slug/parent.
http://www.standardautomation.in/perforated-shutters.html,/products/other/perforated-shutters/,orphaned-unclassified (protocol/www duplicate),Duplicate of https://www.standardautomation.in/perforated-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/sliding-glass-door.html,/products/other/sliding-glass-door/,orphaned-unclassified,Live page not present in current nav or sitemap; needs a home in the new IA,Yes,Confirm correct category with business (see proposed-information-architecture.md) before finalizing slug/parent.
http://www.standardautomation.in/sliding-glass-door.html,/products/other/sliding-glass-door/,orphaned-unclassified (protocol/www duplicate),Duplicate of https://www.standardautomation.in/sliding-glass-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/automatic-barriers.html,/products/boom-and-barriers/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/automatic-barriers.html,/products/boom-and-barriers/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/automatic-barriers.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/retractable-barriers.html,/products/boom-and-barriers/retractable-barriers/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/retractable-barriers.html,/products/boom-and-barriers/retractable-barriers/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/retractable-barriers.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/motors-accessories.html,/products/motors-accessories/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/motors-accessories.html,/products/motors-accessories/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/motors-accessories.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/tubular-motor.html,/products/motors-accessories/tubular-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/tubular-motor.html,/products/motors-accessories/tubular-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/tubular-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/australian-type-motor.html,/products/motors-accessories/australian-type-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/australian-type-motor.html,/products/motors-accessories/australian-type-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/australian-type-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/central-motor.html,/products/motors-accessories/central-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/central-motor.html,/products/motors-accessories/central-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/central-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/side-motor-with-gear.html,/products/motors-accessories/side-motor-with-gear/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/side-motor-with-gear.html,/products/motors-accessories/side-motor-with-gear/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/side-motor-with-gear.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/industrial-sliding-gate-motor.html,/products/motors-accessories/industrial-sliding-gate-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/industrial-sliding-gate-motor.html,/products/motors-accessories/industrial-sliding-gate-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/industrial-sliding-gate-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/sliding-glass-door-motor.html,/products/motors-accessories/sliding-glass-door-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/sliding-glass-door-motor.html,/products/motors-accessories/sliding-glass-door-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/sliding-glass-door-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/sectional-door-motor.html,/products/motors-accessories/sectional-door-motor/,product,"Product detail page, nested under its category per proposed IA",Yes,Currently orphaned (commented out of live nav) — reinstating pending business confirmation the product line is still active.
http://www.standardautomation.in/sectional-door-motor.html,/products/motors-accessories/sectional-door-motor/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/sectional-door-motor.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/fire-proof-shutters.html,/products/rolling-shutters/fire-proof-shutters/,product,"Product detail page, nested under its category per proposed IA",Yes,"URL/label/title mismatch found on live site (see seo-audit.md §3) — final slug must be confirmed with business before redirecting, current mapping is a placeholder."
http://www.standardautomation.in/fire-proof-shutters.html,/products/rolling-shutters/fire-proof-shutters/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/fire-proof-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/aluminium-single-wall.html,/products/rolling-shutters/aluminium-single-wall/,product,"Product detail page, nested under its category per proposed IA",Yes,"URL/label/title mismatch found on live site (see seo-audit.md §3) — final slug must be confirmed with business before redirecting, current mapping is a placeholder."
http://www.standardautomation.in/aluminium-single-wall.html,/products/rolling-shutters/aluminium-single-wall/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/aluminium-single-wall.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/bollard.html,/products/bollard-turnstile-barriers/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/bollard.html,/products/bollard-turnstile-barriers/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/bollard.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/turnstile.html,/products/bollard-turnstile-barriers/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/turnstile.html,/products/bollard-turnstile-barriers/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/turnstile.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/tripod-turnstile.html,/products/bollard-turnstile-barriers/tripod-turnstile/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/tripod-turnstile.html,/products/bollard-turnstile-barriers/tripod-turnstile/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/tripod-turnstile.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/flap-barrier.html,/products/bollard-turnstile-barriers/flap-barrier/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/flap-barrier.html,/products/bollard-turnstile-barriers/flap-barrier/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/flap-barrier.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/full-height-barrier.html,/products/bollard-turnstile-barriers/full-height-barrier/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/full-height-barrier.html,/products/bollard-turnstile-barriers/full-height-barrier/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/full-height-barrier.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/tile-adhesive.html,(none),dead-404,Already 404; content (tile adhesive / epoxy grout / construction chemicals) is unrelated to the doors/gates/shutters product range,No,"UNKNOWN — appears to be leftover from a different business or shared template, not part of Standard Automation’s product line. Confirm with business before any action; do not recreate without confirmation."
https://www.standardautomation.in/tile-adhesive.html,(none),dead-404 (protocol/www duplicate),Duplicate of http://www.standardautomation.in/tile-adhesive.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/epoxy-tile-grout.html,(none),dead-404,Already 404; content (tile adhesive / epoxy grout / construction chemicals) is unrelated to the doors/gates/shutters product range,No,"UNKNOWN — appears to be leftover from a different business or shared template, not part of Standard Automation’s product line. Confirm with business before any action; do not recreate without confirmation."
https://www.standardautomation.in/epoxy-tile-grout.html,(none),dead-404 (protocol/www duplicate),Duplicate of http://www.standardautomation.in/epoxy-tile-grout.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/industrial-engg-grout.html,(none),dead-404,Already 404; content (tile adhesive / epoxy grout / construction chemicals) is unrelated to the doors/gates/shutters product range,No,"UNKNOWN — appears to be leftover from a different business or shared template, not part of Standard Automation’s product line. Confirm with business before any action; do not recreate without confirmation."
https://www.standardautomation.in/industrial-engg-grout.html,(none),dead-404 (protocol/www duplicate),Duplicate of http://www.standardautomation.in/industrial-engg-grout.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
